vessel_id,block,출발지,목적지,바지,슬롯,병렬,슬롯면적,블록면적,유휴면적,슬롯길이,슬롯너비,슬롯높이,블록길이,블록너비,블록높이
SN2637,G310C,사내,HSG성동,0.0,0.0,False,360.0,77.0,283.0,20.0,18.0,1000.0,11.0,7.0,1.7
SN2631,M510P,사내,HSG성동,0.0,1.0,False,374.0,306.0,68.0,22.0,17.0,1000.0,18.0,17.0,4.3
SN2608,D310P,사내,HSG성동,0.0,2.0,False,374.0,280.0,94.0,22.0,17.0,1000.0,20.0,14.0,5.3
SN2599,B15GS,사내,HSG성동,1.0,0.0,False,456.0,360.0,96.0,24.0,19.0,1000.0,24.0,15.0,8.3
SN2463,D29GC,사내,덕곡2,0.0,0.0,False,10000.0,752.0,9248.0,-100.0,-100.0,-100.0,47.0,16.0,4.4
SN2654,H110P,사내,봉암8,0.0,0.0,False,192.0,176.0,16.0,16.0,12.0,5.8,16.0,11.0,4.0
SN2466,E12GC,사내,봉암8,0.0,1.0,False,10000.0,425.0,9575.0,-100.0,-100.0,-100.0,25.0,17.0,8.4
SN2599,E360C,사내,봉암9,0.0,0.0,False,192.0,121.0,71.0,16.0,12.0,5.8,11.0,11.0,1.8
SN2463,S390S,오비,사내,0.0,0.0,False,,220.0,,,,,20.0,11.0,5.9
SN2458,F810P,봉암9,사내,0.0,0.0,False,,176.0,,,,,16.0,11.0,3.8
SN2599,E380C,한내,사내,0.0,0.0,False,,220.0,,,,,20.0,11.0,1.3
SN2608,F530C,HSG성동,사내,0.0,0.0,False,,231.0,,,,,21.0,11.0,3.3
SN2607,Y900P,신한내,사내,0.0,0.0,False,,99.0,,,,,11.0,9.0,2.0
SN2599,E260C,덕곡1,사내,0.0,0.0,False,,323.0,,,,,19.0,17.0,6.6
SN2661,E41XS,오비3,사내,0.0,0.0,False,,132.0,,,,,12.0,11.0,4.8
SN2612,Y710C,봉암9,사내,0.0,1.0,False,,0.0,,,,,11.0,0.0,0.0
SN2616,E510S,오비,사내,0.0,1.0,False,,168.0,,,,,14.0,12.0,7.1
SN2599,E370C,한내,사내,0.0,1.0,False,,220.0,,,,,20.0,11.0,3.7
SN2616,S14GP,HSG성동,사내,0.0,1.0,False,,242.0,,,,,22.0,11.0,3.1
SN2637,M900P,봉암9,사내,0.0,1.0,True,,66.0,,,,,11.0,6.0,3.5
SN2463,S390P,덕곡1,사내,0.0,1.0,False,,220.0,,,,,20.0,11.0,5.9
SN2616,S14GS,오비,사내,0.0,2.0,False,,242.0,,,,,22.0,11.0,3.1
SN2458,F810S,봉암9,사내,0.0,2.0,False,,176.0,,,,,16.0,11.0,3.8
SN2464,A310P,HSG성동,사내,0.0,2.0,False,,459.0,,,,,27.0,17.0,6.8
SN2634,F210S,한내,사내,0.0,2.0,False,,165.0,,,,,15.0,11.0,4.5
SN2637,M900S,봉암9,사내,0.0,3.0,False,,66.0,,,,,11.0,6.0,3.5
SN2616,E510P,한내,사내,0.0,3.0,False,,210.0,,,,,15.0,14.0,7.1
SN2634,F440C,오비,사내,1.0,0.0,False,,289.0,,,,,17.0,17.0,8.1
SN2661,E110S,HSG성동,사내,1.0,0.0,False,,294.0,,,,,21.0,14.0,8.8
SN2463,W820P,봉암9,사내,1.0,0.0,False,,209.0,,,,,19.0,11.0,2.3
SN2654,H110S,한내,사내,1.0,0.0,False,,176.0,,,,,16.0,11.0,4.0
SN2608,D730S,오비,사내,1.0,1.0,False,,240.0,,,,,16.0,15.0,6.7
SN2608,G140S,HSG성동,사내,1.0,1.0,False,,176.0,,,,,16.0,11.0,4.3
SN2463,F81GP,사내,신한내,0.0,0.0,False,360.0,176.0,184.0,20.0,18.0,1000.0,16.0,11.0,5.5
SN2608,D500P,사내,신한내,0.0,1.0,False,360.0,88.0,272.0,20.0,18.0,1000.0,11.0,8.0,2.4
SN2608,D500S,사내,신한내,0.0,1.0,True,399.0,88.0,311.0,21.0,19.0,1000.0,11.0,8.0,2.4
SN2640,E22AS,사내,신한내,0.0,2.0,False,414.0,110.0,304.0,23.0,18.0,1000.0,11.0,10.0,4.6
SN2591,W820S,사내,신한내,0.0,3.0,False,414.0,209.0,205.0,23.0,18.0,1000.0,19.0,11.0,0.5
SN2661,A221S,사내,신한내,1.0,0.0,False,414.0,187.0,227.0,23.0,18.0,1000.0,17.0,11.0,4.9
SN2638,D33AS,사내,신한내,1.0,1.0,False,432.0,176.0,256.0,24.0,18.0,1000.0,16.0,11.0,2.2
SN2661,D31DS,사내,신한내,1.0,2.0,False,440.0,99.0,341.0,22.0,20.0,1000.0,11.0,9.0,3.1
SN2631,M510S,사내,신한내,1.0,3.0,False,462.0,306.0,156.0,22.0,21.0,1000.0,18.0,17.0,4.3
