length,width,height,count,location
20.0,19.0,1000.0,3,HSG¼ºµ¿
21.0,19.0,1000.0,3,HSG¼ºµ¿
20.0,18.0,1000.0,2,HSG¼ºµ¿
22.0,19.0,1000.0,2,HSG¼ºµ¿
23.0,17.0,1000.0,2,HSG¼ºµ¿
23.0,18.0,1000.0,2,HSG¼ºµ¿
21.0,17.0,1000.0,1,HSG¼ºµ¿
21.0,18.0,1000.0,1,HSG¼ºµ¿
22.0,17.0,1000.0,1,HSG¼ºµ¿
22.0,18.0,1000.0,1,HSG¼ºµ¿
22.0,21.0,1000.0,1,HSG¼ºµ¿
23.0,19.0,1000.0,1,HSG¼ºµ¿
24.0,17.0,1000.0,1,HSG¼ºµ¿
18.0,14.0,1000.0,1,´ö°î1
19.0,14.0,1000.0,1,´ö°î1
21.0,20.0,1000.0,1,´ö°î1
21.0,21.0,1000.0,1,´ö°î1
16.0,10.0,5.0,1,´ö°î2
16.0,11.0,5.0,1,´ö°î2
18.0,13.0,5.0,1,´ö°î2
17.0,14.0,5.8,1,ºÀ¾Ï8
20.0,12.0,5.8,1,ºÀ¾Ï8
20.0,14.0,5.8,2,ºÀ¾Ï9
17.0,13.0,5.8,1,ºÀ¾Ï9
18.0,14.0,5.8,1,ºÀ¾Ï9
19.0,15.0,5.8,1,ºÀ¾Ï9
23.0,19.0,1000.0,1,½ÅÇÑ³»
22.0,13.0,1000.0,1,ÇÑ³»
